customer_id,customer_name,city,city_tier,signup_date,age,gender
CUST00001,Ayaan Sharma,Hyderabad,Tier 1,2024-10-08,33,Male
CUST00002,Krishna Iyer,Nashik,Tier 2,2025-11-23,52,Male
CUST00003,Ramesh Naidu,Ahmedabad,Tier 1,2024-02-02,19,Male
CUST00004,Aadhya Singh,Kolkata,Tier 1,2025-06-01,56,Male
CUST00005,Vikram Gupta,Delhi,Tier 1,2025-10-27,52,Female
CUST00006,Kiara Pillai,Delhi,Tier 1,2025-08-26,35,Male
CUST00007,Ananya Naidu,Mumbai,Tier 1,2024-12-14,35,Male
CUST00008,Aadhya Mehta,Indore,Tier 2,2024-04-14,23,Female
CUST00009,Reyansh Joshi,Kolkata,Tier 1,2024-12-18,56,Female
CUST00010,Aditya Pillai,Pune,Tier 1,2025-07-03,25,Female
CUST00011,Sai Menon,Mumbai,Tier 1,2024-10-27,58,Female
CUST00012,Suresh Gupta,Raipur,Tier 3,2024-03-12,20,Male
CUST00013,Riya Reddy,Surat,Tier 2,2024-08-26,24,Female
CUST00014,Navya Pillai,Delhi,Tier 1,2025-10-12,41,Male
CUST00015,Akhil Joshi,Delhi,Tier 1,2024-08-02,60,Female
CUST00016,Arjun Das,Delhi,Tier 1,2025-10-12,28,Male
CUST00017,Ananya Pillai,Bengaluru,Tier 1,2025-01-23,35,Male
CUST00018,Rohan Verma,Chennai,Tier 1,2024-08-22,20,Female
CUST00019,Priya Rao,Hyderabad,Tier 1,2024-03-08,31,Female
CUST00020,Aadhya Chowdhury,Bengaluru,Tier 1,2025-02-09,59,Female
CUST00021,Ishaan Rao,Kolkata,Tier 1,2024-05-22,33,Female
CUST00022,Ramesh Naidu,Delhi,Tier 1,2025-08-20,43,Female
CUST00023,Kiara Nair,Bengaluru,Tier 1,2025-06-05,49,Male
CUST00024,Vihaan Iyer,Hyderabad,Tier 1,2024-06-05,58,Male
CUST00025,Meera Das,Hyderabad,Tier 1,2024-03-06,42,Female
CUST00026,Anjali Pillai,Jaipur,Tier 2,2025-06-25,34,Male
CUST00027,Ayaan Menon,Delhi,Tier 1,2024-09-30,59,Female
CUST00028,Ayaan Kumar,Chennai,Tier 1,2025-03-21,28,Female
CUST00029,Aarav Rao,Kolkata,Tier 1,2025-05-27,29,Male
CUST00030,Pari Bhat,Mumbai,Tier 1,2025-09-15,30,Male
CUST00031,Akhil Patel,Kolkata,Tier 1,2025-07-06,51,Male
CUST00032,Anjali Mehta,Delhi,Tier 1,2025-05-15,19,Male
CUST00033,Akhil Kumar,Mumbai,Tier 1,2024-09-02,21,Male
CUST00034,Suresh Reddy,Kanpur,Tier 2,2024-03-28,49,Male
CUST00035,Neha Nair,Ranchi,Tier 3,2024-05-11,60,Female
CUST00036,Vikram Patel,Lucknow,Tier 2,2024-09-28,51,Female
CUST00037,Aadhya Menon,Bengaluru,Tier 1,2024-07-24,37,Female
CUST00038,Akhil Pillai,Mumbai,Tier 1,2025-06-13,46,Male
CUST00039,Myra Singh,Pune,Tier 1,2024-03-06,39,Male
CUST00040,Ramesh Menon,Hyderabad,Tier 1,2024-08-23,55,Male
CUST00041,Aarav Reddy,Mumbai,Tier 1,2025-10-08,21,Male
CUST00042,Arjun Verma,Chennai,Tier 1,2024-12-04,22,Male
CUST00043,Navya Chowdhury,Mumbai,Tier 1,2024-08-07,52,Male
CUST00044,Suresh Agarwal,Visakhapatnam,Tier 2,2025-04-29,33,Female
CUST00045,Kavya Gupta,Bengaluru,Tier 1,2024-04-06,24,Female
CUST00046,Pranav Naidu,Pune,Tier 1,2025-02-24,47,Male
CUST00047,Reyansh Verma,Bengaluru,Tier 1,2025-02-16,39,Male
CUST00048,Myra Gupta,Chennai,Tier 1,2024-07-13,52,Female
CUST00049,Krishna Naidu,Chennai,Tier 1,2024-07-06,35,Female
CUST00050,Myra Reddy,Delhi,Tier 1,2025-03-29,53,Male
CUST00051,Vihaan Menon,Raipur,Tier 3,2024-01-16,23,Male
CUST00052,Ananya Naidu,Jaipur,Tier 2,2025-05-12,48,Male
CUST00053,Priya Verma,Kanpur,Tier 2,2024-06-17,42,Male
CUST00054,Sneha Rao,Coimbatore,Tier 2,2025-04-10,36,Female
CUST00055,Vikram Chowdhury,Kolkata,Tier 1,2024-06-07,30,Female
CUST00056,Aadhya Verma,Patna,Tier 2,2025-08-16,52,Male
CUST00057,Rohan Verma,Mumbai,Tier 1,2024-02-21,55,Female
CUST00058,Sunita Bhat,Delhi,Tier 1,2024-06-10,21,Male
CUST00059,Diya Reddy,Mumbai,Tier 1,2025-09-01,22,Male
CUST00060,Priya Iyer,Bengaluru,Tier 1,2025-08-06,33,Male
CUST00061,Deepak Reddy,Hyderabad,Tier 1,2025-03-05,60,Female
CUST00062,Anika Gupta,Bengaluru,Tier 1,2025-11-16,38,Male
CUST00063,Anika Desai,Surat,Tier 2,2024-05-14,39,Female
CUST00064,Divya Mehta,Bengaluru,Tier 1,2024-03-15,18,Female
CUST00065,Deepak Agarwal,Bengaluru,Tier 1,2024-04-12,22,Male
CUST00066,Sunita Rao,Chennai,Tier 1,2024-05-15,40,Male
CUST00067,Myra Joshi,Delhi,Tier 1,2024-10-18,28,Female
CUST00068,Neha Kumar,Lucknow,Tier 2,2025-09-18,59,Male
CUST00069,Vikram Kumar,Mumbai,Tier 1,2025-11-10,24,Male
CUST00070,Anika Iyer,Amritsar,Tier 3,2024-04-19,53,Male
CUST00071,Navya Kumar,Jaipur,Tier 2,2025-09-11,31,Female
CUST00072,Aadhya Rao,Delhi,Tier 1,2025-06-01,49,Female
CUST00073,Vihaan Reddy,Mumbai,Tier 1,2025-10-11,45,Female
CUST00074,Aditya Sharma,Surat,Tier 2,2024-12-07,26,Female
CUST00075,Ananya Pillai,Pune,Tier 1,2025-07-18,45,Male
CUST00076,Ayaan Reddy,Ahmedabad,Tier 1,2024-06-01,52,Male
CUST00077,Akhil Agarwal,Jaipur,Tier 2,2025-07-19,27,Female
